number,organisation,long,lat
1,African Union Commision,38.744182,9.000241
2,Dashen Bank (african union branch,38.744665,9.000209
3,African Union Building B,38.742047,9.001502
4,African Hall UN ECA Conference Hall,38.764204,9.015048
5,Chinese delegation to the African Union,38.72976,8.994666
6,EU Delegation to the African Union,38.737289,8.999813
7,GIZ Delegation to the African Union,38.742181,8.998764
8,Green Growth Initiative,38.769761,9.002016
9,UNDP,38.766002,9.016761
10,Ethiopian Ministry of Foreign Affairs,38.762676,9.018711
11,National Palace,38.761549,9.017026
12,UNICEF Ethiopia,38.767897,9.01485
13,Save the Children Ethiopia,38.731688,8.992689
14,EU Delegation Office,38.779283,9.000876
15,Bole Airport,38.798647,8.982194
16,International Committee of the Red Cross,38.813347,9.020023
17,UNFAO,38.817717,9.018377
18,International Livestock Research Institute,38.814241,9.016501
19,Ethiopian Ministry of Agriculture and Natural Resources,38.811891,9.016151
20,Marriott Exclusive Apartments,38.765116,9.011256
21,Elilly International Hotel,38.769024,9.01452
22,Radisson Blu,38.767812,9.016523
23,Capitl Hotel and Spa,38.780001,9.013647
24,The Hilton Hotel Addis,38.764911,9.018767
25,The Ghion,38.760979,9.01353
26,Meskel Square,38.761378,9.01048
27,The Intercontinental Hotel,38.769767,9.015561
28,UNHCR - Representation to AU and ECR,38.767397,9.014963
29,Pan African Council,38.784105,8.985125
30,Nile Basin Initiative,38.820775,9.022586
31,Ethiopian Chamber of Commerce,38.744469,9.009472
32,Addis Ababa Bole International Airport,38.796594,8.979358
33,Ethiopian Sugar Corporation,38.765203,9.016089
34,Sheraton,38.759997,9.020793
35,Midroc,38.737776,8.985392
36,Ethio-telecoms,38.753088,9.013431
37,Metek,38.825088,9.030275
38,City Hall,38.750829,9.034839
39,Menelik Square,38.752402,9.03594
40,Adwa Squre,38.752218,9.037541
41,Addis Ababa University Main Campus,38.758979,9.046306
