"","osm_id","code","fclass","name","ref","oneway","maxspeed","layer","bridge","tunnel"
"0","4677317",5122,"residential",NA,NA,"B",0,"0","F","F"
"1","4677323",5122,"residential",NA,NA,"B",0,"0","F","F"
"2","4677325",5122,"residential",NA,NA,"B",0,"0","F","F"
"3","4677326",5122,"residential",NA,NA,"B",0,"0","F","F"
"4","4677359",5113,"primary","Equatorial Guinea Street",NA,"F",0,"0","F","F"
"5","4677416",5113,"primary","Ras Abebe Aregay Street",NA,"F",0,"0","F","F"
"6","4677442",5113,"primary","Mozambique Street",NA,"F",0,"0","F","F"
"7","4677450",5133,"primary_link",NA,NA,"F",0,"0","F","F"
"8","4677458",5113,"primary","Chad Street",NA,"F",0,"0","F","F"
"9","4677463",5113,"primary","Uganda Street",NA,"F",0,"0","F","F"
"10","5921435",5113,"primary","Roosevelt Street",NA,"F",0,"0","F","F"
"11","5921436",5133,"primary_link",NA,NA,"B",0,"0","F","F"
"12","5921439",5115,"tertiary",NA,NA,"B",0,"0","F","F"
"13","5921440",5115,"tertiary",NA,NA,"B",0,"0","F","F"
"14","5921443",5115,"tertiary",NA,NA,"B",0,"0","F","F"
"15","5921444",5115,"tertiary",NA,NA,"B",0,"0","F","F"
"16","5921445",5115,"tertiary",NA,NA,"B",0,"0","F","F"
"17","8104263",5112,"trunk","Ring Road",NA,"F",80,"0","F","F"
"18","8104280",5113,"primary","Jimma Road","7","B",0,"0","F","F"
"19","8104345",5122,"residential",NA,NA,"B",0,"0","F","F"
"20","8104346",5122,"residential",NA,NA,"B",0,"0","F","F"
"21","8104347",5122,"residential",NA,NA,"B",0,"0","F","F"
"22","8104350",5122,"residential",NA,NA,"B",5,"0","F","F"
"23","8104351",5122,"residential",NA,NA,"B",5,"0","F","F"
"24","8104352",5122,"residential",NA,NA,"B",5,"0","F","F"
"25","8104353",5122,"residential",NA,NA,"B",5,"0","F","F"
"26","8104354",5122,"residential",NA,NA,"B",5,"0","F","F"
"27","8104355",5122,"residential",NA,NA,"B",5,"0","F","F"
"28","8104356",5122,"residential",NA,NA,"B",5,"0","F","F"
"29","8104357",5122,"residential",NA,NA,"B",0,"0","F","F"
"30","8104358",5122,"residential",NA,NA,"B",0,"0","F","F"
"31","8104359",5115,"tertiary",NA,NA,"B",5,"0","F","F"
"32","8104360",5122,"residential",NA,NA,"B",0,"0","F","F"
"33","8104361",5113,"primary","Central Africa Republic Street",NA,"F",30,"0","F","F"
"34","8104362",5122,"residential",NA,NA,"B",5,"0","F","F"
"35","8104363",5122,"residential",NA,NA,"B",5,"0","F","F"
"36","8104364",5122,"residential",NA,NA,"B",5,"0","F","F"
"37","8104365",5122,"residential",NA,NA,"B",0,"0","F","F"
"38","8104366",5122,"residential",NA,NA,"B",0,"0","F","F"
"39","8104367",5122,"residential",NA,NA,"B",0,"0","F","F"
"40","8104368",5114,"secondary","Congo Street",NA,"B",0,"0","F","F"
"41","8104425",5122,"residential",NA,NA,"B",0,"0","F","F"
"42","8104514",5114,"secondary","Somalia Street",NA,"B",5,"0","F","F"
"43","8104522",5113,"primary","Bekele Weya Street",NA,"F",0,"0","F","F"
"44","8104525",5115,"tertiary","Liberia Street",NA,"F",0,"0","F","F"
"45","8104538",5121,"unclassified","Dej Wolde Michael Street",NA,"B",0,"0","F","F"
"46","8104558",5113,"primary","Mauritania Street",NA,"B",0,"0","F","F"
"47","8104561",5122,"residential",NA,NA,"B",0,"0","F","F"
"48","8104563",5122,"residential",NA,NA,"B",0,"0","F","F"
"49","8104569",5122,"residential",NA,NA,"B",0,"0","F","F"
"50","8104570",5122,"residential",NA,NA,"B",0,"0","F","F"
"51","8104573",5122,"residential",NA,NA,"B",0,"0","F","F"
"52","8104575",5122,"residential",NA,NA,"B",0,"0","F","F"
"53","8104576",5122,"residential",NA,NA,"B",0,"0","F","F"
"54","8104577",5122,"residential",NA,NA,"B",0,"0","F","F"
"55","8104578",5122,"residential",NA,NA,"B",0,"0","F","F"
"56","8104579",5122,"residential",NA,NA,"B",0,"0","F","F"
"57","8104580",5122,"residential",NA,NA,"B",0,"0","F","F"
"58","8104582",5122,"residential",NA,NA,"B",0,"0","F","F"
"59","8104583",5122,"residential",NA,NA,"B",0,"0","F","F"
"60","8104585",5122,"residential",NA,NA,"B",0,"0","F","F"
"61","8104586",5122,"residential",NA,NA,"B",0,"0","F","F"
"62","8104587",5122,"residential",NA,NA,"B",0,"0","F","F"
"63","8104588",5122,"residential",NA,NA,"B",0,"0","F","F"
"64","8109791",5113,"primary","Alexander Pushkin Avenue",NA,"F",0,"0","F","F"
"65","8110238",5113,"primary","Mike Leyland Street",NA,"F",0,"0","F","F"
"66","8111456",5113,"primary","Libya Street",NA,"F",0,"0","F","F"
