IATA_code,city,airport
ABJ,Abidjan,Felix Houphouet-Boigny International Airport
ABV,Abuja,Nnamdi Azikiwe International Airport
ACC,Accra,Kotoka International Airport
ADD,Addis Ababa,Addis Ababa Bole International Airport
TNR,Antananarivo,Ivato International Airport
AMH,Arba Minch,Arba Minch Airport
ASO,Asosa,Asosa Airport
AXU,Axum,Axum Airport
BJR,Bahir Dar,Bahir Dar Airport
BAH,Bahrain,Bahrain International Airport
BKO,Bamako,Bamako Senou International Airport
DMK,Bangkok,Don Mueang International Airport
BGF,Bangui,Bangui M'Poko International Airport
BJL,Banjul,Banjul International Airport
PEK,Beijing,Beijing Capital International Airport
BEY,Beirut,Beirut Rafic Hariri International Airport
OXB,Bissau,aeroporto internacional osvaldo vieira
BLZ,Blantyre,Chileka International Airport
BZV,Brazzaville,Maya Maya international Airport
BRU,Brussels,Brussels Airport
EZE,Buenos Aires,Ministro Pistarini International Airport
BJM,Bujumbura,Bujumbura International Airport
CAI,Cairo,Cairo International Airport
CPT,Capetown,Cape Town International Airport
CTU,Chengdu,Chengdu Shuangliu International Airport
CKY,Conakry,Conakry International Airport
COO,Cotonou,Cadjehoun Airport
DKR,Dakar,Aeroport militaire - ancien aeroport international Leopold-Sedar-Senghor
DAM,Damascus,Damascus International Airport
DMM,Dammam,Dammam King Fahd International Airport
DAR,Dar es Salaam,Julius Nyerere International Airport
DEM,Dembidollo,Dembidollo Airport
DSE,Dessie,Combolcha Airport
DIR,Dire Dawa,Aba Tenna Dejazmach Yilma International Airport
JIB,Djibouti,Djibouti Ambouli International Airport
DLA,Douala,Douala International Airport
DXB,Dubai,Dubai International Airport
DUB,Dublin,Dublin Airport
DUR,Durban,King Shaka International Airport
EBB,Entebbe,Entebbe International Airport
ENU,Enugu,Enugu Airport
FRA,Frankfurt,Frankfurt Airport
FNA,Freetown,Lungi International Airport
GBE,Gaborone,Sir Seretse Khama International Airport
GMB,Gambella,Gambela Airport
GDE,Gode,Gode Iddiole Airport
GOM,Goma,Goma International Airport
GDQ,Gondar,Atse Tewodros Airport
CAN,Guangzhou,Guangzhou Baiyun International Airport
HRE,Harare,Robert Gabriel Mugabe International Airport
HGA,Hargeisa,Hargeisa Airport
AWA,Hawassa,Awasa Airport
HKG,Hong Kong,Hong Kong International Airport
HUE,Humera,Humera Airport 
JED,Jeddah,Jeddah King Abdul Aziz International Airport
JIJ,Jijiga,Wilwal International Airport
JIM,Jimma,Jimma Airport
BCO,Jinka,Baco Airport
JNB,Johannesburg,O. R. Tambo International Airport
JUB,Juba,Juba Airport
KAD,Kaduna,Kaduna Airport
KAN,Kano,Mallam Aminu Kano International Airport 
ABK,Kebridahar,Kabri Dehar Airport
KRT,Khartoum,Khartoum International Airport
KGL,Kigali,Kigali International Airport
JRO,Kilimajaro,Kilimanjaro International Airport
FIH,Kinshasa,N'djili Airport
FKI,Kisangani,Bangoka International Airport
KUL,Kuala Lumpur,Kuala Lumpur International Airport
KWI,Kuwait City,Kuwait International Airport
LOS,Lagos,Murtala Muhammed International Airport
LLI,Lalibela,Lalibela
LBV,Libreville,Leon Mba International Airport
LLW,Lilongwe,Kamuzu International Airport
LFW,Lome,Lome Tokoin Airport
LHR,London,Heathrow Airport
LAX,Los Angeles,Los Angeles International Airport
LAD,Luanda,4 de Fevereiro International Airport
FBM ,Lubumbashi,Lubumbashi International Airport
LUN,Lusaka,Kenneth Kaunda International Airport
MAD,Madrid,Madrid Barajas Airport
SSG,Malabo,Malabo Airport Airport
MNL,Manila,The Ninoy Aquino International Airport
MPM,Maputo,Maputo International Airport
MJM,Mbuji-Mayi,Mbuji Mayi Airport
MQX,Mekelle,Alula Aba Nega Airport
MXP,Milan,Milan Malpensa Airport
MBA,Mombassa,Moi International Airport
ROB,Monrovia,Roberts International Airport
HAH,Moroni,Prince Said Ibrahim International Airport
BOM,Mumbai,Chhatrapati Shivaji International Airport
MUC,Munich,Munich Airport
MCT,Muscat,Muscat International Airport
NDJ,N'Djamena,N'Djamena International Airport
NBO,Nairobi,Jomo Kenyatta International Airport
NLA,Ndola,Simon Mwansa Kapwepwe International Airport
DEL,New Delhi,Indira Gandhi International Airport
EWR,New York,Newark Liberty International Airport
NIM,Niamey,Diori Hamani International Airport
NOS,Nosy Be,Fascene Airport
OUA,Ouagadougou,Ouagadougou Airport
CDG,Paris,Paris Charles de Gaulle Airport
RUH,Riyadh,King Khalid International Airport
FCO,Rome,Rome Fiumicino Airport
GRU,Sao Paulo ,Sao Paulo Guarulhos Governador Andre Franco Montoro International Airport
SZE,Semera,Semera Airport
ICN,Seoul,Incheon International Airport
SEZ,Seychelles,Seychelles International Airport
PVG,Shanghai,Shanghai Pudong International Airport
SHC,Shire,Shire General Hayelom Araya Airport
SIN,Singapore,Singapore Airport
ARN,Stockholm,Stockholm Arlanda Airport
TLV,Tel Aviv,Ben Gurion International Airport
HND,Tokyo,Tokyo Haneda Airport
YYZ,Toronto,Toronto Pearson International Airport
VFA,Victoria Falls,Victoria Falls Airport
VIE,Vienna,Vienna International Airport
IAD,Washington DC,Washington Dulles International Airport
WDH,Windhoek,Hosea Kutako International Airport
YAO,Yaounde,Yaounde International Airport
ZNZ,Zanzibar,Abeid Amani Karume International Airport
