year,country_origin_id,,country_destination_id,export_names,export_val,export_val_pct,et_destination
2016,ETH,Ethiopia,CHN,China,424551784,14%,4
2016,ETH,Ethiopia,CHE,Switzerland,345568614.5,11%,0
2016,ETH,Ethiopia,NLD,Netherlands,313042418,10%,0
2016,ETH,Ethiopia,SAU,Saudi Arabia,287877266.6,9.20%,3
2016,ETH,Ethiopia,USA,United States,231122065.8,7.40%,4
2016,ETH,Ethiopia,DEU,Germany,191865740.3,6.10%,2
2016,ETH,Ethiopia,ARE,United Arab Emirates,183506016.5,5.90%,1
2016,ETH,Ethiopia,JPN,Japan,74363076.91,2.40%,1
2016,ETH,Ethiopia,IND,India,70854834.04,2.30%,2
2016,ETH,Ethiopia,PAK,Pakistan,69111419.06,2.20%,0
2016,ETH,Ethiopia,ITA,Italy,64522594.17,2.10%,2
2016,ETH,Ethiopia,GBR,United Kingdom,54936980.43,1.80%,1
2016,ETH,Ethiopia,KOR,South Korea,53942842.42,1.70%,1
2016,ETH,Ethiopia,ISR,Israel,51563750.12,1.60%,1
2016,ETH,Ethiopia,FRA,France,49741389.56,1.60%,1
2016,ETH,Ethiopia,SDN,Sudan,48760701,1.60%,1
2016,ETH,Ethiopia,ZAF,South Africa,44882057.42,1.40%,4
2016,ETH,Ethiopia,TUR,Turkey,43351779.49,1.40%,0
2016,ETH,Ethiopia,IDN,Indonesia,42128517.2,1.30%,0
2016,ETH,Ethiopia,VNM,Vietnam,36465027,1.20%,0
2016,ETH,Ethiopia,DJI,Djibouti,34197637,1.10%,1
2016,ETH,Ethiopia,KEN,Kenya,32442203,1.00%,3
2016,ETH,Ethiopia,BLX,Belgium-Luxembourg,30426341.27,0.97%,1
2016,ETH,Ethiopia,HKG,Hong Kong SAR China,26180282.24,0.84%,1
2016,ETH,Ethiopia,CAN,Canada,25858731.1,0.83%,1
2016,ETH,Ethiopia,JOR,Jordan,25054112.04,0.80%,0
2016,ETH,Ethiopia,NOR,Norway,19336505.56,0.62%,0
2016,ETH,Ethiopia,RUS,Russia,18875957.13,0.60%,0
2016,ETH,Ethiopia,AUS,Australia,18490803.8,0.59%,0
2016,ETH,Ethiopia,SWE,Sweden,16265776.18,0.52%,1
2016,ETH,Ethiopia,CZE,Czechia,15794521.95,0.50%,0
2016,ETH,Ethiopia,SGP,Singapore,13384577.57,0.43%,1
2016,ETH,Ethiopia,EGY,Egypt,10943689.76,0.35%,0
2016,ETH,Ethiopia,XXB,Refugee,10633775.59,0.34%,0
2016,ETH,Ethiopia,ESP,Spain,9768419.92,0.31%,1
2016,ETH,Ethiopia,GRC,Greece,9088712.21,0.29%,0
2016,ETH,Ethiopia,PSE,Palestinian Territories,8152286.89,0.26%,0
2016,ETH,Ethiopia,YEM,Yemen,7524214,0.24%,0
2016,ETH,Ethiopia,THA,Thailand,7078671.88,0.23%,1
2016,ETH,Ethiopia,TGO,Togo,6253249,0.20%,1
2016,ETH,Ethiopia,FIN,Finland,6200857.3,0.20%,0
2016,ETH,Ethiopia,BGR,Bulgaria,5849341.83,0.19%,0
2016,ETH,Ethiopia,PRT,Portugal,5526194.48,0.18%,0
2016,ETH,Ethiopia,SOM,Somalia,4554605,0.15%,1
2016,ETH,Ethiopia,MYS,Malaysia,4539097.8,0.14%,1
2016,ETH,Ethiopia,POL,Poland,4445590.54,0.14%,0
2016,ETH,Ethiopia,NGA,Nigeria,4440250.99,0.14%,7
2016,ETH,Ethiopia,NZL,New Zealand,4202278,0.13%,0
2016,ETH,Ethiopia,BHR,Bahrain,4191829.51,0.13%,1
2016,ETH,Ethiopia,RWA,Rwanda,3943861.65,0.13%,1
2016,ETH,Ethiopia,SVK,Slovakia,3785625.53,0.12%,0
2016,ETH,Ethiopia,AUT,Austria,3270266.4,0.10%,1
2016,ETH,Ethiopia,LKA,Sri Lanka,3104794.51,0.10%,0
2016,ETH,Ethiopia,KWT,Kuwait,2645785.68,0.08%,1
2016,ETH,Ethiopia,IRQ,Iraq,2415479,0.08%,0
2016,ETH,Ethiopia,BGD,Bangladesh,2248099,0.07%,0
2016,ETH,Ethiopia,IRN,Iran,1990070,0.06%,0
2016,ETH,Ethiopia,TUN,Tunisia,1786970.74,0.06%,0
2016,ETH,Ethiopia,DNK,Denmark,1782340.41,0.06%,0
2016,ETH,Ethiopia,BEN,Benin,1718929.25,0.06%,1
2016,ETH,Ethiopia,IRL,Ireland,1683044.22,0.05%,1
2016,ETH,Ethiopia,DZA,Algeria,1674145.58,0.05%,0
2016,ETH,Ethiopia,UGA,Uganda,1666884.79,0.05%,1
2016,ETH,Ethiopia,ROU,Romania,1510240.35,0.05%,0
2016,ETH,Ethiopia,QAT,Qatar,1499331.34,0.05%,0
2016,ETH,Ethiopia,CMR,Cameroon,1279723,0.04%,6
2016,ETH,Ethiopia,LBN,Lebanon,1223940.51,0.04%,1
2016,ETH,Ethiopia,SLV,El Salvador,1212039.98,0.04%,0
2016,ETH,Ethiopia,MEX,Mexico,1176626.35,0.04%,0
2016,ETH,Ethiopia,GHA,Ghana,1164769.64,0.04%,2
2016,ETH,Ethiopia,HUN,Hungary,1156425.78,0.04%,0
2016,ETH,Ethiopia,SVN,Slovenia,1030063.86,0.03%,0
2016,ETH,Ethiopia,GTM,Guatemala,922521.04,0.03%,0
2016,ETH,Ethiopia,EST,Estonia,903896.14,0.03%,0
2016,ETH,Ethiopia,UKR,Ukraine,852682,0.03%,0
2016,ETH,Ethiopia,ZMB,Zambia,830658,0.03%,4
2016,ETH,Ethiopia,BLR,Belarus,801810.39,0.03%,0
2016,ETH,Ethiopia,OMN,Oman,703178.44,0.02%,1
2016,ETH,Ethiopia,PHL,Philippines,690681.04,0.02%,1
2016,ETH,Ethiopia,SEN,Senegal,618030.14,0.02%,2
2016,ETH,Ethiopia,MAR,Morocco,609202.27,0.02%,0
2016,ETH,Ethiopia,NER,Niger,592140.46,0.02%,3
2016,ETH,Ethiopia,BRA,Brazil,571119.86,0.02%,1
2016,ETH,Ethiopia,CHL,Chile,566816.69,0.02%,0
2016,ETH,Ethiopia,PRK,North Korea,556102,0.02%,0
2016,ETH,Ethiopia,ARM,Armenia,381754.84,0.01%,0
2016,ETH,Ethiopia,HRV,Croatia,380631.63,0.01%,0
2016,ETH,Ethiopia,MWI,Malawi,349148,0.01%,3
2016,ETH,Ethiopia,LTU,Lithuania,343112.9,0.01%,0
2016,ETH,Ethiopia,MDG,Madagascar,331648.61,0.01%,2
2016,ETH,Ethiopia,COM,Comoros,323214,0.01%,1
2016,ETH,Ethiopia,COG,Congo - Brazzaville,320544,0.01%,2
2016,ETH,Ethiopia,NIC,Nicaragua,311077,0.01%,0
2016,ETH,Ethiopia,BFA,Burkina Faso,305515.16,0.01%,2
2016,ETH,Ethiopia,TON,Tonga,296304,0.01%,0
2016,ETH,Ethiopia,BIH,Bosnia & Herzegovina,277952.39,0.01%,0
2016,ETH,Ethiopia,AGO,Angola,256658,0.01%,1
2016,ETH,Ethiopia,PER,Peru,239252.59,0.01%,0
2016,ETH,Ethiopia,TZA,Tanzania,237704.82,0.01%,4
2016,ETH,Ethiopia,ISL,Iceland,232408.18,0.01%,0
2016,ETH,Ethiopia,ZWE,Zimbabwe,226355.61,0.01%,3
2016,ETH,Ethiopia,SRB,Serbia,221023.61,0.01%,0
2016,ETH,Ethiopia,CIV,Ivory Coast,184819,0.01%,3
2016,ETH,Ethiopia,KHM,Cambodia,180153.34,0.01%,0
2016,ETH,Ethiopia,MLI,Mali,161853.04,0.01%,1
2016,ETH,Ethiopia,TCD,Chad,138018,0.00%,3
2016,ETH,Ethiopia,MMR,Myanmar (Burma),111708,0.00%,0
2016,ETH,Ethiopia,BDI,Burundi,110158,0.00%,1
2016,ETH,Ethiopia,SYC,Seychelles,95109.39,0.00%,1
2016,ETH,Ethiopia,SYR,Syria,90047,0.00%,1
2016,ETH,Ethiopia,ALB,Albania,88578.21,0.00%,0
2016,ETH,Ethiopia,MOZ,Mozambique,83263,0.00%,1
2016,ETH,Ethiopia,AND,Andorra,78289,0.00%,0
2016,ETH,Ethiopia,AZE,Azerbaijan,75506.22,0.00%,0
2016,ETH,Ethiopia,GEO,Georgia,75392,0.00%,0
2016,ETH,Ethiopia,NPL,Nepal,71870,0.00%,0
2016,ETH,Ethiopia,GAB,Gabon,66737,0.00%,3
2016,ETH,Ethiopia,JAM,Jamaica,66282.44,0.00%,0
2016,ETH,Ethiopia,MDA,Moldova,64856.76,0.00%,0
2016,ETH,Ethiopia,LAO,Laos,64840.63,0.00%,0
2016,ETH,Ethiopia,MUS,Mauritius,62020.56,0.00%,0
2016,ETH,Ethiopia,ARG,Argentina,60276.53,0.00%,1
2016,ETH,Ethiopia,LBR,Liberia,57616,0.00%,1
2016,ETH,Ethiopia,CYP,Cyprus,56294.41,0.00%,0
2016,ETH,Ethiopia,MKD,Macedonia,53510.63,0.00%,0
2016,ETH,Ethiopia,VEN,Venezuela,51843,0.00%,0
2016,ETH,Ethiopia,DOM,Dominican Republic,46219.02,0.00%,0
2016,ETH,Ethiopia,AFG,Afghanistan,45369.85,0.00%,0
2016,ETH,Ethiopia,GMB,Gambia,34976.69,0.00%,1
2016,ETH,Ethiopia,KAZ,Kazakhstan,32239.67,0.00%,0
2016,ETH,Ethiopia,SLE,Sierra Leone,32131.09,0.00%,1
2016,ETH,Ethiopia,COL,Colombia,29473,0.00%,0
2016,ETH,Ethiopia,BOL,Bolivia,22816,0.00%,0
2016,ETH,Ethiopia,MAC,Macau SAR China,20223.76,0.00%,0
2016,ETH,Ethiopia,GIN,Guinea,17724,0.00%,2
2016,ETH,Ethiopia,MNE,Montenegro,17474,0.00%,0
2016,ETH,Ethiopia,HND,Honduras,15213,0.00%,0
2016,ETH,Ethiopia,MLT,Malta,14672.32,0.00%,0
2016,ETH,Ethiopia,ECU,Ecuador,14667.12,0.00%,0
2016,ETH,Ethiopia,MNG,Mongolia,12945.56,0.00%,0
2016,ETH,Ethiopia,STP,Sao Tome and Principe,12651,0.00%,0
2016,ETH,Ethiopia,GNQ,Equatorial Guinea,12252,0.00%,1
2016,ETH,Ethiopia,CPV,Cape Verde,11265,0.00%,0
2016,ETH,Ethiopia,CAF,Central African Republic,8353,0.00%,2
2016,ETH,Ethiopia,URY,Uruguay,3601.78,0.00%,0
2016,ETH,Ethiopia,BHS,Bahamas,2289,0.00%,0
2016,ETH,Ethiopia,GUY,Guyana,1604.39,0.00%,0
2016,ETH,Ethiopia,GNB,Guinea-Bissau,1439,0.00%,2
2016,ETH,Ethiopia,BRB,Barbados,1384,0.00%,0
2016,ETH,Ethiopia,FJI,Fiji,1285.52,0.00%,0
