year,country_origin_id,,country_destination_id,import_names,import_val,import_val_pct,et_destination
2016,ETH,Ethiopia,AFG,Afghanistan,1782,0.00%,0
2016,ETH,Ethiopia,ALB,Albania,46260.5,0.00%,0
2016,ETH,Ethiopia,DZA,Algeria,33247.8,0.00%,0
2016,ETH,Ethiopia,AND,Andorra,395877.33,0.00%,0
2016,ETH,Ethiopia,AGO,Angola,35463,0.00%,1
2016,ETH,Ethiopia,ATG,Antigua & Barbuda,1804,0.00%,0
2016,ETH,Ethiopia,ARG,Argentina,1846960.2,0.01%,1
2016,ETH,Ethiopia,ARM,Armenia,8679,0.00%,0
2016,ETH,Ethiopia,AUS,Australia,16584040.68,0.09%,0
2016,ETH,Ethiopia,AUT,Austria,78307632.34,0.44%,1
2016,ETH,Ethiopia,AZE,Azerbaijan,8958,0.00%,0
2016,ETH,Ethiopia,BHR,Bahrain,400229626.5,2.20%,1
2016,ETH,Ethiopia,BGD,Bangladesh,7297195.47,0.04%,0
2016,ETH,Ethiopia,BLR,Belarus,4315506.13,0.02%,0
2016,ETH,Ethiopia,BLX,Belgium-Luxembourg,286663651.7,1.60%,1
2016,ETH,Ethiopia,BLZ,Belize,5242.25,0.00%,0
2016,ETH,Ethiopia,BEN,Benin,20300,0.00%,1
2016,ETH,Ethiopia,BMU,Bermuda,296326,0.00%,0
2016,ETH,Ethiopia,BIH,Bosnia & Herzegovina,185567,0.00%,0
2016,ETH,Ethiopia,BRA,Brazil,70594739.88,0.39%,1
2016,ETH,Ethiopia,BGR,Bulgaria,19760935.64,0.11%,0
2016,ETH,Ethiopia,BFA,Burkina Faso,1602089.76,0.01%,2
2016,ETH,Ethiopia,BDI,Burundi,3725,0.00%,1
2016,ETH,Ethiopia,KHM,Cambodia,478720.23,0.00%,0
2016,ETH,Ethiopia,CMR,Cameroon,295433.12,0.00%,6
2016,ETH,Ethiopia,CAN,Canada,90106116.69,0.50%,1
2016,ETH,Ethiopia,CPV,Cape Verde,67104.25,0.00%,0
2016,ETH,Ethiopia,CAF,Central African Republic,33041,0.00%,2
2016,ETH,Ethiopia,TCD,Chad,6078,0.00%,3
2016,ETH,Ethiopia,CHL,Chile,729020.39,0.00%,0
2016,ETH,Ethiopia,CHN,China,5458998053,30%,4
2016,ETH,Ethiopia,CXR,Christmas Island,16908.55,0.00%,0
2016,ETH,Ethiopia,COL,Colombia,2556839.84,0.01%,0
2016,ETH,Ethiopia,COM,Comoros,7391.5,0.00%,1
2016,ETH,Ethiopia,COG,Congo - Brazzaville,65453.15,0.00%,2
2016,ETH,Ethiopia,COD,Congo - Kinshasa,1722,0.00%,7
2016,ETH,Ethiopia,CRI,Costa Rica,164387.89,0.00%,0
2016,ETH,Ethiopia,HRV,Croatia,8864704.84,0.05%,0
2016,ETH,Ethiopia,CUB,Cuba,36669,0.00%,0
2016,ETH,Ethiopia,CYP,Cyprus,8472822.29,0.05%,0
2016,ETH,Ethiopia,CZE,Czechia,30895583.93,0.17%,0
2016,ETH,Ethiopia,DNK,Denmark,39723434.4,0.22%,0
