"city","IATA_code","lat","lon","lat_min","lat_max","lon_min","lon_max"
"Abidjan","ABJ",5.4091179,-4.0422099,5.2206684,5.6363268,-4.2940788,-3.7177411
"Abuja","ABV",9.0643305,7.4892974,8.9043305,9.2243305,7.3292974,7.6492974
"Accra","ACC",5.5600141,-0.2057437,5.4000141,5.7200141,-0.3657437,-0.0457437
"Addis Ababa","ADD",9.0107934,38.7612525,8.8507934,9.1707934,38.6012525,38.9212525
"Antananarivo","TNR",-18.9100122,47.5255809,-19.0700122,-18.7500122,47.3655809,47.6855809
"Arba Minch","AMH",6.0215142,37.5539809,5.8615142,6.1815142,37.3939809,37.7139809
"Asosa","ASO",10.3952745,34.7446508805667,9.553574,11.2380999,34.140833,35.373179
"Axum","AXU",14.122015,38.7305334,13.962015,14.282015,38.5705334,38.8905334
"Bahir Dar","BJR",11.5904154,37.3884007,11.4304154,11.7504154,37.2284007,37.5484007
"Bahrain","BAH",35.2078012,72.5473968,35.1878012,35.2278012,72.5273968,72.5673968
"Bamako","BKO",12.649319,-8.000337,12.489319,12.809319,-8.160337,-7.840337
"Bangkok","DMK",-7.846423,112.1005469,-7.866423,-7.826423,112.0805469,112.1205469
"Bangui","BGF",4.3907153,18.5509126,4.3175992,4.4871461,18.4969059,18.5945614
"Banjul","BJL",13.45535,-16.575646,13.29535,13.61535,-16.735646,-16.415646
"Beijing","PEK",39.9059631,116.391248,39.7459631,40.0659631,116.231248,116.551248
"Beirut","BEY",-12.8863598,-65.320004,-12.9063598,-12.8663598,-65.340004,-65.300004
"Bissau","OXB",11.861324,-15.583055,11.701324,12.021324,-15.743055,-15.423055
"Blantyre","BLZ",-15.7862543,35.0035694,-15.9462543,-15.6262543,34.8435694,35.1635694
"Brazzaville","BZV",-4.2694407,15.2712256,-4.4294407,-4.1094407,15.1112256,15.4312256
"Brussels","BRU",50.8465573,4.351697,50.6865573,51.0065573,4.191697,4.511697
"Buenos Aires","EZE",9.08251365,-83.2465025101169,8.7741316,9.39075,-83.5647764,-82.9587978
"Bujumbura","BJM",-3.3638125,29.3675028,-3.5238125,-3.2038125,29.2075028,29.5275028
"Cairo","CAI",37.0057958,-89.1772449,36.970298,37.088868,-89.231458,-89.134272
"Capetown","CPT",40.4662424,-124.367277,40.4462424,40.4862424,-124.387277,-124.347277
"Chengdu","CTU",30.6765553,104.0612783,30.5165553,30.8365553,103.9012783,104.2212783
