,osm_id,code,fclass,name,Forenji
535,25994898,5114,secondary,Abera Gizwa Street,n
111,22337876,5113,primary,Abune Petros,n
304,24814297,5112,trunk,Addis Ababa - Bahir Dar Road,n
64376,303999807,5111,motorway,Addis-Adama Expressway,n
178,24282984,5113,primary,Adwa Square,n
133072,548121255,5122,residential,Africa Av,y
201,24287795,5113,primary,Africa Avenue / Bole Road,y
342,24993654,5113,primary,Africa-China Cooperation Square,y
6296,44679063,5113,primary,Alexander Pushkin,y
64,8109791,5113,primary,Alexander Pushkin Avenue,y
164,24278737,5113,primary,Algeria Av,y
10321,131472300,5122,residential,Ameya Street,n
2996,38978995,5122,residential,Amir Crt,n
177,24282949,5114,secondary,Angola Street,y
31303,200657413,5114,secondary,AR_06_1001 St. / Haile Maryam Mamo St.,n
319,24890942,5114,secondary,AR_06_1074 St. / Welete Yohanis Street,n
491,25683067,5115,tertiary,AR_06_1084 St. / Tewodros Av,n
551,26255409,5114,secondary,AR_06_1104 St. / Tenagnework St,n
518,25965884,5113,primary,Ararat to Kara,n
371,25007642,5113,primary,Arbegnoch Square,y
113,22337878,5113,primary,Arbegnoch Street,y
549,26254969,5114,secondary,Ayele Haile Av.,n
729,27255446,5122,residential,Balcha Street,n
43,8104522,5113,primary,Bekele Weya Street,n
13057,157076332,5113,primary,Benin Street,y
3425,40886393,5114,secondary,Bergoyane Street,n
327,24895709,5113,primary,Beyene Aba Sebsib Avenue,n
367,25007155,5113,primary,Beyene Merid Street,n
124751,532226823,5122,residential,Boston Day Spa Parking Lot Road,y
191,24284770,5114,secondary,Botswana Street,y
10314,131472293,5122,residential,Bulen Street,n
180,24283103,5114,secondary,Burkina Faso Street,y
4919,43456250,5113,primary,Burundi Street,y
31200,200568372,5113,primary,Cameroon Street,y
2725,35969434,5113,primary,Cape Verde Street,y
33,8104361,5113,primary,Central Africa Republic Street,y
8,4677458,5113,primary,Chad Street,y
10320,131472299,5122,residential,Chilalo Street,n
122,22337890,5113,primary,Churchill Avenue,y
364,24996286,5114,secondary,Colsen Steet,y
93,9713691,5113,primary,Comoros Street,y
40,8104368,5114,secondary,Congo Street,y
200,24285329,5113,primary,Cote d'Ivoire Street,y
117,22337882,5113,primary,Cunningham Street,y
182,24283140,5122,residential,D.A.R. Sahara Street,y
10319,131472298,5122,residential,Dashen Road,n
135,23411027,5113,primary,Debre Zeit Road,n
375,25008892,5113,primary,Dej Beyene Merid Street,n
198,24284923,5114,secondary,Dej Wolde Gebriel,n
45,8104538,5121,unclassified,Dej Wolde Michael Street,n
6574,45902021,5114,secondary,Dej Zewdu Aba Koran Street,n
2791,37835791,5114,secondary,Dej. Hailesilassie Av,n
64517,304870763,5113,primary,Dej. Hailesilassie Av. / Tunisia Av.,n
6571,45902018,5113,primary,Dej. Mekonin Demisaw,n
2988,38786859,5115,tertiary,Dejazemach Belay Zeleke Street,n
114,22337879,5114,secondary,Dejazemach Jote Street,n
6566,45902013,5115,tertiary,Dejazmach Afewerk Street,n
4908,43456239,5113,primary,Dejazmach Balcha Aba Nefso Street,n
149,24255014,5114,secondary,Democratic Republic of Congo Street,y
389,25012139,5113,primary,Diaspora Square,n
147,24254866,5113,primary,Djibouti Street,y
109,22051893,5113,primary,Eden Street,y
376,25008962,5113,primary,Egypt Street,y
542,26254953,5114,secondary,Egzabheraab To Mebrathail,n
4,4677359,5113,primary,Equatorial Guinea Street,y
2817,37836518,5122,residential,Eritrea Street,y
2746,36007432,5113,primary,Ethio-Chinese Friendship Road,y
2771,36406449,5113,primary,Ethio-Chinese Friendship Road;From Kera to Wollo Sefer,y
92,9713688,5113,primary,Fikre Mariam Aba Techan Street,n
6576,45902026,5113,primary,Fitawrari Gebeyehu Street,n
21622,185405218,5113,primary,Fitawrari Habte Giorgis Street,n
21623,185405220,5113,primary,Fitawrari Habte Giorgis Street -ፊታዉራሪ ሀብተጊዮርጊስ መንገድ,n
2747,36007612,5113,primary,From Wollo Sefer to Kera,n
156,24257095,5113,primary,Gabon Av,y
3573,42656152,5113,primary,Gambia Street,y
7395,69607766,5114,secondary,Gaston Guez Street,n
126466,533395670,5114,secondary,General Mulugeta Buli Street,n
8536,104694303,5114,secondary,General Wingate Street,n
3442,40886432,5114,secondary,Genral Abebe Damtew Street,n
150,24255047,5113,primary,Ghana Street,y
4031,42981913,5141,service,Ghion Hotel Enterance,n
13280,160749857,5115,tertiary,Ginfele,n
104,21897238,5113,primary,Gobena Aba Tigu Street,n
547,26254960,5113,primary,Gofa Mazoria to Mebrathail,n
10317,131472296,5122,residential,Goldya Lane,n
2738,36001343,5113,primary,Guinea Conakry Street,y
2050,35474093,5113,primary,Guinea-Bissau street,y
123184,526140026,5114,secondary,Gulele_02_256 St.,n
417,25091902,5113,primary,Haile Gebresellasie Avenue,n
6563,45902010,5114,secondary,Haile Melekot Street,n
5598,44049491,5113,primary,Hailesilase Street,n
173,24282899,5114,secondary,Hailu Kebede Street,n
2792,37835794,5115,tertiary,Inku Silase Banty,n
6581,45902057,5113,primary,Intoto Road,n
514,25965880,5113,primary,Jacros,n
18,8104280,5113,primary,Jimma Road,n
172,24282896,5114,secondary,John Melly Street,y
184,24283172,5113,primary,Jomo Kenyatta Avenue,y
153,24256173,5114,secondary,Joseph Tito St.,y
21074,183747969,5114,secondary,Josif Tito Street,y
8953,115590824,5111,motorway,Kadisco,n
6292,44679059,5113,primary,Karl Square,y
548,26254966,5114,secondary,Kebele 24 to Megenagna,n
546,26254959,5121,unclassified,Kebele 24 to Ringroad Access 1,n
534,25994895,5115,tertiary,Kechenie to Semien,n
160,24257116,5113,primary,Kenenisa Street,n
6573,45902020,5114,secondary,Kenya Street,y
163,24278704,5113,primary,King George VI Av. / AR_06_1002 Av.,y
696,27253827,5122,residential,Leila Lane,y
2761,36283207,5114,secondary,Leipzig Roundabout,y
378,25009248,5113,primary,Lesotho Street,y
44,8104525,5115,tertiary,Liberia Street,y
66,8111456,5113,primary,Libya Street,y
10315,131472294,5122,residential,Limu Lane,y
2760,36283206,5114,secondary,Lorenzo Taezaz Street,y
192,24284799,5114,secondary,Madagascar Street,y
123,22337891,5115,tertiary,Mahtama Gandhi Street,y
476,25544285,5115,tertiary,Malawi Street,y
4906,43456234,5113,primary,Mali Av.,y
3778,42835404,5122,residential,Mann St,y
5599,44049492,5155,steps,Mato dereja,n
46,8104558,5113,primary,Mauritania Street,y
7174,58728401,5113,primary,Mauritius Street,y
10992,151225748,5122,residential,Mebrat Haile Condominium,n
151,24255879,5113,primary,Menelik II Avenue,n
89534,427697770,5113,primary,Mesfin harar Av,n
64516,304870762,5113,primary,Mesfin Harar Av.,n
2770,36404058,5113,primary,Meskele squre,n
133965,552614091,5113,primary,Michew Square,n
65,8110238,5113,primary,Mike Leyland Street,y
6,4677442,5113,primary,Mozambique Street,y
698,27253830,5122,residential,Mukhtar Way,n
145,23952242,5113,primary,Namibia Avenue,y
341,24975110,5112,trunk,New Ambo Road,n
152,24256128,5113,primary,Niger Street,y
362,24996051,5115,tertiary,Nigeria Street,y
13710,162941070,5113,primary,Old Ambo Road -የድሮው የአምቦ መንገድ,n
48111,237807551,5113,primary,Olympia square,y
6582,45902058,5114,secondary,Omedla Street,n
2056,35474103,5114,secondary,Qore street,y
7246,61653170,5113,primary,Queen Elizabeth Street,y
5,4677416,5113,primary,Ras Abebe Aregay Street,n
11301,151430204,5113,primary,Ras Desta Damtew Street,n
1096,28440034,5115,tertiary,Ras Lulseged Street,n
11300,151430202,5113,primary,Ras Mekonnen Avenue,n
526,25965894,5121,unclassified,Road to Gergi Giorgis,n
10,5921435,5113,primary,Roosevelt Street,y
165,24278823,5113,primary,Russia Av,y
13210,160456981,5113,primary,Rwanda Street,y
72141,340811921,5155,steps,Saba dereja,n
321,24891067,5114,secondary,Sahle Selassie Street,n
7178,58882195,5122,residential,Salim Circle,n
124146,531907554,5113,primary,Salitemihret - Summit road,n
369,25007386,5114,secondary,Sao Tome & Principe Street,y
128029,537202182,5122,residential,Sarah St,y
181,24283120,5113,primary,Senegal Street,y
377,25009236,5113,primary,Seychelles Street,y
161,24278613,5122,residential,Shewareged Gedle Street,n
11370,151483790,5113,primary,Sierra Leone Av,y
3577,42656188,5113,primary,Smuts Av,n
28323,195860516,5113,primary,Smuts Street,n
10316,131472295,5122,residential,Soloda Street,n
42,8104514,5114,secondary,Somalia Street,y
6987,49417003,5113,primary,South Africa Street,y
349,24994484,5113,primary,Sudan Street,y
8967,116750686,5112,trunk,Summit - Goro road,n
11709,152095606,5113,primary,Summit - Salitemihret road,n
21979,185794561,5154,path,Suspension Bridge,n
78041,381600979,5113,primary,Swaziland Av.,y
1344,35338737,5115,tertiary,Sylvia Pankhurst Street,y
202,24288154,5114,secondary,Taitu Street,n
366,25007149,5113,primary,Tanzania Street,y
10325,131565465,5154,path,Terminal 1 to Terminal 2,n
4909,43456240,5113,primary,Tesema Aba Kemaw Street,n
320,24890960,5115,tertiary,Tewodros Road,n
121,22337887,5113,primary,Tewodros Square,n
13289,161021880,5113,primary,Tilahun Gessesse Square,n
2930,38026926,5141,service,TK International Parking,n
392,25012624,5114,secondary,To Egzabheraab,n
2768,36403868,5113,primary,To Mesket Square and Kera,n
7662,95458357,5114,secondary,Togo Street,y
8487,104400517,5113,primary,Total Square,y
6580,45902056,5114,secondary,Tsehafi Tiezaz Afewerk Street,n
4947,43456282,5113,primary,Tunisia Av.,y
8495,104408493,5112,trunk,Tunisia Street,y
9,4677463,5113,primary,Uganda Street,y
13273,160749839,5114,secondary,Ummar Semetar Street,n
18079,170189300,5122,residential,Warner Lane,y
107,22051882,5114,secondary,Wawel Street,n
167,24278946,5113,primary,Weatherall Street,y
21082,183867798,5113,primary,Weji Bridge,n
324,24891246,5115,tertiary,Wendimeneh Street,n
49923,240081396,5113,primary,Wollo Sefer Square,n
351,24994487,5113,primary,Yared Street,n
18014,170186009,5114,secondary,Yeka 9_2624 St,n
21559,185268111,5121,unclassified,Yeka Kifle Ketema (Khebena),n
10312,131472291,5122,residential,Yerer Road,n
365,25006819,5113,primary,Yohanes St.,n
31205,200591488,5113,primary,Yohanis Street,n
325,24891376,5113,primary,Zambia Street,y
318,24890582,5113,primary,Zewditu Street,n
305,24889765,5122,residential,Zimbabwe Av,y
