dummy,from,fromIATA,to,toIATA,route since,frequency
yes,Addis Ababa,ADD,Abidjan,ABJ,,
yes,Accra,ACC,Abidjan,ABJ,,
yes,Lome,LFW,Abidjan,ABJ,,
yes,Addis Ababa,ADD,Abuja,ABV,,
yes,Lome,LFW,Abuja,ABV,,
yes,Addis Ababa,ADD,Accra,ACC,,
yes,Lome,LFW,Accra,ACC,,
yes,Lome,LFW,Addis Ababa,ADD,,
yes,Addis Ababa,ADD,Antananarivo,TNR,,
yes,Hawassa,AWA,Arba Minch,AMH,,
yes,Addis Ababa,ADD,Arba Minch,AMH,,
yes,Addis Ababa,ADD,Asosa,ASO,,
yes,Addis Ababa,ADD,Axum,AXU,,
yes,Addis Ababa,ADD,Bahir Dar,BJR,,
yes,Dessie,DSE,Bahir Dar,BJR,,
yes,Addis Ababa,ADD,Bahrain,BAH,,
yes,Lome,LFW,Bamako,BKO,,
yes,Addis Ababa,ADD,Bangkok,DMK,,
yes,Addis Ababa,ADD,Bangui,BGF,,
yes,Douala,DLA,Bangui,BGF,,
yes,Freetown,FNA,Banjul,BJL,,
yes,Addis Ababa,ADD,Beijing,PEK,,
yes,Addis Ababa,ADD,Beirut,BEY,,
yes,Addis Ababa,ADD,Bissau,OXB,,
yes,Dakar,DKR,Bissau,OXB,,
yes,Addis Ababa,ADD,Blantyre,BLZ,,
yes,Lilongwe,LLW,Blantyre,BLZ,,
yes,Addis Ababa,ADD,Brazzaville,BZV,,
yes,Kinshasa,FIH,Brazzaville,BZV,,
yes,Addis Ababa,ADD,Brussels,BRU,,
yes,Sao Paulo,GRU,Buenos Aires,EZE,,
yes,Addis Ababa,ADD,Bujumbura,BJM,,
yes,Addis Ababa,ADD,Cairo,CAI,,
yes,Addis Ababa,ADD,Cape Town,CPT,,
yes,Addis Ababa,ADD,Chengdu,CTU,,
yes,Bamako,BKO,Conakry,CKY,,
yes,Addis Ababa,ADD,Cotonou,COO,,
yes,Lome,LFW,Dakar,DKR,,
